cultivar,source,state,county,sample_id,sample_date,sample_year,total_cbd,total_thc,total_cbg,cbd_thc_ratio
BaOx Hybrid, Infinite Tree,Wisconsin, Walworth,672, Oct 1,2020,7.13,0.28,0.4,25.42
BaOx Hybrid, Infinite Tree,Wisconsin, Columbia,341, Sep 1,2020,2.87,0.14,0.19,19.81
BaOx Hybrid, Infinite Tree,Wisconsin, Columbia,467, Sep 14,2020,3.39,0.14,0.19,24.43
BaOx Hybrid, Infinite Tree,Wisconsin, Walworth,513, Sep 17,2020,3.83,0.18,0.33,21.9
BaOx Hybrid, Infinite Tree,Wisconsin, Walworth,107, Oct 15,2020,6.4,0.23,0.35,28.03
Berry Blossom, Sulcanna,Illinois, Rock Island,588, Sep 23,2020,2.93,1.12,0.27,2.62
Berry Blossom, High Grade Hemp Seed,Michigan, Grand Traverse,638, Sep 28,2020,9.52,0.4,0.36,23.59
Berry Blossom, Colorado Hemp Project,Illinois, Tazewell,323, Aug 31,2020,2.82,0.16,0.1,17.97
Berry Blossom, Sulcanna,Illinois, Lee,58, Sep 29,2020,2.74,0.82,0.11,3.33
Berry Blossom, Half Moon Hemp,Indiana, Monroe,504, Sep 15,2020,5.53,0.25,0.21,22.24
Berry Blossom, Sulcanna,Illinois, Warren,642, Sep 28,2020,7.06,1.07,0.29,6.62
Berry Blossom, Sulcanna,Illinois, Rock Island,708, Oct 6,2020,3.43,0.36,0.16,9.57
Berry Blossom, Sulcanna,Illinois, Lee,328, Sep 1,2020,0.83,0.2,0.05,4.2
Berry Blossom, Sulcanna,Illinois, Lee,489, Sep 15,2020,1.37,0.36,0.09,3.81
Berry Blossom, High Grade Hemp Seed,Michigan, Grand Traverse,283, Aug 25,2020,3.25,0.18,0.14,18.29
Berry Blossom, Sulcanna,Illinois, Champaign,578, Sep 23,2020,3.2,0.15,0.25,20.79
Berry Blossom, Sulcanna,Illinois, Rock Island,368, Sep 3,2020,1.71,0.52,0.14,3.29
Berry Blossom, High Grade Hemp Seed,Michigan, Grand Traverse,751, Sep 21,2020,7.01,0.27,0.1,26.22
Berry Blossom, Sulcanna,Illinois, Rock Island,190, Nov 9,2020,4.73,1.99,0.23,2.37
Berry Blossom, Sulcanna,Illinois, Rock Island,189, Nov 9,2020,5.81,0.92,0.11,6.34
Berry Blossom, Colorado Hemp Project,Illinois, Tazewell,479, Sep 14,2020,1.89,0.1,0.11,18.63
Berry Blossom, Colorado Hemp Project,Illinois, Tazewell,76, Oct 5,2020,8.27,0.3,0.4,27.5
Berry Blossom, High Grade Hemp Seed,Michigan, Grand Traverse,200, Nov 11,2020,3.74,0.14,0.07,27.5
Berry Blossom, Colorado Hemp Solutions LLC,Illinois, Randolph,416, Sep 11,2020,4.91,4.39,0.29,1.12
Berry Blossom, Sulcanna,Illinois, Warren,503, Sep 15,2020,7.99,0.33,0.47,24.08
Berry Blossom, Sulcanna,Illinois, Warren,395, Sep 8,2020,2.27,1.09,0.17,2.08
Berry Blossom, High Grade Hemp Seed,Michigan, Grand Traverse,394, Sep 8,2020,3.25,0.17,0.16,19.57
Boax, Colorado Breeders Depot,Michigan, Washtenaw,243, Aug 17,2020,1.61,0.13,0.07,12.7
Boax, Colorado Breeders Depot,Michigan, Washtenaw,244, Aug 17,2020,1.76,0.12,0.09,14.46
Boax of Cherries, Heritage Hemp Seeds,Michigan, Kent,376, Sep 4,2020,5.95,0.25,0.24,23.63
Boax of Cherries, Colorado Green Films Technology,Wisconsin, Racine,209, Aug 6,2020,2.72,0.26,0.19,10.57
Boax of Cherries, Colorado Green Films Technology,Wisconsin, Racine,245, Aug 20,2020,4.45,0.7,0.31,6.31
Boax of Cherries, Heritage Hemp Seeds,Michigan, Kent,351, Aug 31,2020,5.51,0.24,0.27,23.19
Boax of Cherries, Heritage Hemp Seeds,Michigan, Kent,43, Sep 21,2020,12.16,0.47,0.46,26.09
Boax of Cherries, Heritage Hemp Seeds,Michigan, Kent,497, Sep 14,2020,8.51,0.3,0.3,28.56
Boax of Cherries, Colorado Green Films Technology,Wisconsin, Racine,19, Sep 21,2020,3.46,0.11,0.24,31.13
Boax of Cherries, Colorado Green Films Technology,Wisconsin, Racine,149, Sep 24,2020,4.9,0.18,0.18,27.83
Boax of Cherries, Colorado Green Films Technology,Wisconsin, Racine,275, Aug 26,2020,4.48,0.2,0.33,22.65
Buffalo Soldier, Kifcure,Wisconsin, Walworth,617, Sep 24,2020,1.42,0.11,3.74,12.4
Buffalo Soldier, Ag Marvels,Michigan, Huron,238, Aug 17,2020,2.54,0.05,0.35,48.65
Buffalo Soldier, Ag Marvels,Michigan, Huron,357, Aug 31,2020,0.03,0.06,7.8,0.5
Buffalo Soldier, Kifcure,Wisconsin, Columbia,268, Aug 24,2020,0,0.02,3.08,0
Buffalo Soldier, Kifcure,Wisconsin, Walworth,420, Sep 11,2020,0.03,0.13,7.01,0.25
Buffalo Soldier, Ag Marvels,Michigan, Huron,45, Sep 21,2020,0,0.17,10.16,0
Buffalo Soldier, Kifcure,Wisconsin, Walworth,90, Oct 7,2020,0.03,0.08,5.8,0.41
Buffalo Soldier, Kifcure,Wisconsin, Columbia,432, Sep 11,2020,7.21,0.31,0.39,23.49
Buffalo Soldier, Ag Marvels,Michigan, Muskegon,195, Nov 6,2020,0.09,0.29,6.31,0.31
Buffalo Soldier, Ag Marvels,Michigan, Huron,412, Sep 8,2020,0,0.1,7.95,0
Buffalo Soldier, Ag Marvels,Michigan, Muskegon,409, Sep 8,2020,0.03,0.05,6.37,0.53
Buffalo Soldier, Ag Marvels,Michigan, Muskegon,159, Oct 12,2020,0,0.02,4.61,0
Buffalo Soldier, Kifcure,Wisconsin, Columbia,35, Sep 21,2020,0.57,0.23,4.24,2.45
C2, Boring Hemp Co,Wisconsin, Columbia,698, Oct 5,2020,5.74,0.22,0.28,26.53
C2, Boring Hemp Co,Wisconsin, Columbia,563, Sep 21,2020,2.8,0.13,0.21,20.79
C2, Boring Hemp Co,Wisconsin, Columbia,124, Oct 19,2020,10.72,0.37,0.2,29.12
CHP-CBG, Colorado Hemp Project,Illinois, Warren,687, Sep 30,2020,2.65,0.16,2.83,16.33
CHP-CBG, Colorado Hemp Project,Illinois, Warren,206, Nov 13,2020,0.75,0.57,6.62,1.3
CHP-CBG, Colorado Hemp Project,Illinois, Tazewell,481, Sep 14,2020,1.56,0.08,0.08,18.56
CHP-CBG, Colorado Hemp Project,Illinois, Tazewell,324, Aug 31,2020,2.64,0.15,0.08,17.29
CHP-CBG, Colorado Hemp Project,Illinois, Tazewell,481, Sep 14,2020,1.56,0.08,0.08,18.56
CHP-CBG, Colorado Hemp Project,Illinois, Warren,687, Sep 30,2020,2.65,0.16,2.83,16.33
CJ2, Sunrise Genetics,Wisconsin, Walworth,665, Oct 1,2020,9.93,0.4,0.54,24.67
CJ2, Sunrise Genetics,Wisconsin, Columbia,31, Sep 21,2020,8.96,0.34,0.58,26.08
CJ2, Sunrise Genetics,Wisconsin, Walworth,607, Sep 24,2020,9.05,0.35,0.62,25.53
CJ2, Sunrise Genetics,Wisconsin, Columbia,261, Aug 24,2020,3.09,0.16,0.19,19.89
CJ2, Sunrise Genetics,Wisconsin, Columbia,437, Sep 11,2020,2.48,0.13,0.12,19.37
CJ2, Sunrise Genetics,Wisconsin, Walworth,374, Sep 4,2020,4.8,0.2,0.39,24.07
CWS1 x EPG, Eastern Plains Hemp,Wisconsin, Walworth,119, Oct 15,2020,7.36,0.28,0.66,25.94
CWS1 x EPG, Eastern Plains Hemp,Wisconsin, Walworth,679, Oct 1,2020,6.22,0.28,0.82,22.27
CWS1 x EPG, Eastern Plains Hemp,Wisconsin, Columbia,47, Sep 28,2020,5.69,0.2,0.64,27.95
CWS1 x EPG, Eastern Plains Hemp,Wisconsin, Columbia,348, Sep 1,2020,1.83,0.12,0.28,15.68
CWS1 x EPG, Eastern Plains Hemp,Wisconsin, Walworth,523, Sep 17,2020,7.5,0.32,0.77,23.29
CWS1 x EPG, Eastern Plains Hemp,Wisconsin, Columbia,455, Sep 14,2020,4.27,0.18,0.56,23.65
Cat's Meow (CM), Alterra,Wisconsin, Fond du Lac,389, Sep 9,2020,3.27,0.16,0.16,20.22
Cat's Meow (CM), Alterra,Wisconsin, Fond du Lac,248, Aug 20,2020,3.16,0.17,0.28,18.86
Cat's Meow (CM), Alterra,Wisconsin, Fond du Lac,219, Aug 11,2020,3.1,0.16,0.21,19.17
Cat's Meow (CM), Alterra,Wisconsin, Fond du Lac,731, Oct 13,2020,10.28,0.37,0.2,27.43
Catnip Cream Sauce, High Alpine Genetics,Indiana, Delaware,400, Sep 8,2020,5.8,0.3,0.24,19.19
Catnip Cream Sauce, High Alpine Genetics,Indiana, Delaware,273, Aug 24,2020,3.32,0.13,0.03,25.01
Catnip Cream Sauce, High Alpine Genetics,Indiana, Delaware,474, Sep 14,2020,5.47,0.23,0.16,23.28
Charlotte's Cherry, Illinois Hemp Project,Illinois, Kendall,38, Sep 19,2020,8.96,0.5,0.6,17.76
Charlotte's Cherry, Illinois Hemp Project,Illinois, Kendall,39, Sep 19,2020,9.33,0.4,0.18,23.21
Charlotte's Wife, Colorado Hemp Project,Wisconsin, Green,637, Sep 28,2020,6.72,0.26,0.31,25.68
Charlotte's Wife, Colorado Hemp Project,Wisconsin, Green,471, Sep 14,2020,1.96,0.1,0.13,19.61
Charlotte's Wife, Colorado Hemp Project,Wisconsin, Green,380, Sep 8,2020,4.51,0.2,0.36,22.62
Charlotte's Wife, Colorado Hemp Project,Wisconsin, Green,583, Sep 22,2020,3.96,0.17,0.27,22.77
Charlotte's Wife, Colorado Hemp Project,Wisconsin, Green,703, Oct 6,2020,4.04,0.15,0.32,27.32
Cherry Blossom, Blue Forest Farms,Michigan, Muskegon,123, Oct 17,2020,10.2,0.41,0.37,24.59
Cherry Blossom, Old Country Hemp,Wisconsin, Marathon,363, Sep 1,2020,3.05,0.12,0.16,26.09
Cherry Blossom, Everything Hemp,Wisconsin, Dane,255, Aug 25,2020,2.59,0.11,0.17,22.87
Cherry Blossom, Old Country Hemp,Wisconsin, Marathon,410, Sep 9,2020,4.12,0.17,0.33,24.18
Cherry Blossom, Sourced in Nature,Wisconsin, Vilas,493, Sep 15,2020,5.09,0.19,0.44,26.61
Cherry Blossom, Old Country Hemp,Wisconsin, Green,582, Sep 23,2020,6.76,0.28,0.37,24.5
Cherry Blossom, Blue Forest Farms,Michigan, Muskegon,194, Nov 6,2020,10.77,0.35,0.22,30.47
Cherry Blossom, Everything Hemp,Wisconsin, Dane,87, Oct 7,2020,7,0.23,0.34,30.04
Cherry Blossom, Old Country Hemp,Wisconsin, Marathon,86, Oct 3,2020,4.13,0.15,0.09,27.5
Cherry Blossom, Blue Forest Farms,Michigan, Muskegon,597, Sep 22,2020,5.26,0.24,0.35,22.28
Cherry Blossom, Everything Hemp,Wisconsin, Dane,371, Sep 7,2020,3.05,0.14,0.2,21.77
Cherry Blossom, Old Country Hemp,Wisconsin, Green,80, Oct 7,2020,7.43,0.24,0.31,30.41
Cherry Blossom, Everything Hemp,Wisconsin, Dane,316, Aug 31,2020,2.91,0.14,0.14,20.24
Cherry Blossom, Sourced in Nature,Wisconsin, Vilas,711, Oct 5,2020,9.28,0.3,0.15,30.63
Cherry Butter, High Alpine Genetics,Indiana, Delaware,270, Aug 24,2020,2.63,0.12,0.03,22.02
Cherry Butter, High Alpine Genetics,Indiana, Delaware,398, Sep 8,2020,8.05,0.35,0.31,23.09
Cherry Butter, High Alpine Genetics,Indiana, Delaware,477, Sep 14,2020,8.66,0.35,0.15,24.58
Cherry Wine, Colorado Hemp Project,Illinois, Tazewell,326, Aug 31,2020,2.68,0.14,0.13,19.28
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,446, Sep 14,2020,1.98,0.09,0.13,21.63
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,445, Sep 14,2020,2.51,0.15,0.14,16.57
Cherry Wine, Fruit Growers Laboratory Inc,Illinois, Piatt,507, Sep 16,2020,8.61,0.37,0.29,23.15
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,122, Oct 14,2020,9.24,0.4,0.41,23.23
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,485, Sep 14,2020,3.81,0.2,0.19,19.4
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,121, Oct 14,2020,10.05,0.41,0.24,24.36
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,486, Sep 14,2020,3.62,0.23,0.24,15.92
Cherry Wine, Sulcanna,Illinois, Warren,544, Sep 12,2020,1.89,0.11,0.05,17.84
Cherry Wine, Winter Fox Farms,Illinois, Will,308, Sep 1,2020,2.19,0.22,0.06,9.75
Cherry Wine, Sulcanna,Illinois, Champaign,580, Sep 23,2020,3.69,0.19,0.2,19.83
Cherry Wine, Phyle Pharms,Michigan, Oakland,573, Sep 21,2020,4.14,0.16,0.08,25.29
Cherry Wine, Bear Mountain Hemp,Wisconsin, Oneida,57, Sep 27,2020,4.01,0.16,0.15,24.95
Cherry Wine, Phyle Pharms,Michigan, Oakland,571, Sep 21,2020,3.22,0.14,0.18,23.11
Cherry Wine, Phyle Pharms,Michigan, Oakland,417, Sep 9,2020,2.44,0.13,0.06,18.91
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,624, Sep 22,2020,6.47,0.28,0.25,23.1
Cherry Wine, Phyle Pharms,Michigan, Oakland,623, Sep 23,2020,11.8,0.41,0.23,28.52
Cherry Wine, Phyle Pharms,Michigan, Oakland,622, Sep 23,2020,8.89,0.31,0.14,28.37
Cherry Wine, Colorado Hemp Project,Illinois, Warren,686, Sep 30,2020,7.61,0.28,0.32,27.59
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,483, Sep 14,2020,4.16,0.24,0.08,17.53
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,625, Sep 22,2020,4.61,0.21,0.27,22.03
Cherry Wine, Phyle Pharms,Michigan, Oakland,356, Sep 1,2020,1.47,0.11,0.14,13.96
Cherry Wine, Sulcanna,Illinois, Jo Daviess,602, Sep 22,2020,5.33,0.24,0.22,22.32
Cherry Wine, Phyle Pharms,Michigan, Oakland,570, Sep 21,2020,3.26,0.14,0.18,23.09
Cherry Wine, Triple Barn Farms,Illinois, Jackson,202, Nov 16,2020,4.53,0.16,0.03,28.44
Cherry Wine, Fruit Growers Laboratory Inc,Illinois, Piatt,203, Nov 12,2020,14.47,0.29,0.21,49.88
Cherry Wine, Colorado Hemp Project,Illinois, Tazewell,480, Sep 14,2020,3.85,0.17,0.18,22.17
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,180, Oct 28,2020,9.55,0.48,0.41,19.95
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,627, Sep 22,2020,4.88,0.21,0.29,23.6
Cherry Wine, Triple Barn Farms,Illinois, Jackson,179, Nov 2,2020,9.16,0.44,0.33,20.87
Cherry Wine, Triple Barn Farms,Illinois, Jackson,178, Nov 2,2020,11.9,0.5,0.16,23.72
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,658, Sep 29,2020,8.44,0.35,0.53,23.9
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,657, Sep 29,2020,4.56,0.2,0.14,22.73
Cherry Wine, Bear Mountain Hemp,Wisconsin, Oneida,499, Sep 14,2020,2.54,0.1,0.08,25.87
Cherry Wine, Phyle Pharms,Michigan, Oakland,418, Sep 9,2020,3.32,0.17,0.12,19.83
Cherry Wine, Cheyenne Mountain Seed Company,Indiana, Starke,296, Aug 26,2020,2.77,0.14,0.04,19.92
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,628, Sep 22,2020,3,0.15,0.32,19.86
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,484, Sep 14,2020,4.12,0.19,0.18,21.3
Cherry Wine, Sulcanna,Illinois, Saline,349, Aug 26,2020,4.39,0.24,0.25,18.28
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,659, Sep 29,2020,5.61,0.26,0.15,21.4
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,656, Sep 29,2020,5.4,0.22,0.23,24.12
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,442, Sep 14,2020,1.78,0.08,0,23.24
Cherry Wine, Phyle Pharms,Michigan, Oakland,575, Sep 21,2020,7.11,0.26,0.08,27.86
Cherry Wine, Phyle Pharms,Michigan, Oakland,574, Sep 21,2020,2.12,0.11,0.15,18.6
Cherry Wine, Colorado Hemp Project,Illinois, Tazewell,79, Oct 5,2020,8.15,0.28,0.39,28.78
Cherry Wine, Sulcanna,Illinois, Saline,551, Sep 12,2020,6.62,0.32,0.26,20.43
Cherry Wine, Fruit Growers Laboratory Inc,Illinois, Piatt,506, Sep 14,2020,9.57,0.39,0.15,24.71
Cherry Wine, Cheyenne Mountain Seed Company,Indiana, Starke,407, Sep 8,2020,3.5,0.16,0.16,21.36
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,70, Oct 5,2020,3.27,0.14,0.17,23.21
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,443, Sep 14,2020,2.59,0.14,0.04,18.91
Cherry Wine, Phyle Pharms,Michigan, Oakland,572, Sep 21,2020,5.91,0.23,0.28,25.76
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,69, Oct 5,2020,4.79,0.18,0.24,26.35
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,68, Oct 5,2020,4.65,0.21,0.2,22.38
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,67, Oct 5,2020,4.41,0.18,0.4,24.77
Cherry Wine, Cheyenne Mountain Seed Company,Indiana, Starke,296, Aug 26,2020,2.77,0.14,0.04,19.92
Cherry Wine, Phyle Pharms,Michigan, Oakland,417, Sep 9,2020,2.44,0.13,0.06,18.91
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,446, Sep 14,2020,1.98,0.09,0.13,21.63
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,70, Oct 5,2020,3.27,0.14,0.17,23.21
Cherry Wine, Bear Mountain Hemp,Wisconsin, Oneida,499, Sep 14,2020,2.54,0.1,0.08,25.87
Cherry Wine, Triple Barn Farms,Illinois, Jackson,744, Oct 13,2020,4.15,0.14,0.31,29.81
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,69, Oct 5,2020,4.79,0.18,0.24,26.35
Cherry Wine, Sulcanna,Illinois, Saline,551, Sep 12,2020,6.62,0.32,0.26,20.43
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,706, Oct 5,2020,8.11,0.36,0.35,22.81
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,68, Oct 5,2020,4.65,0.21,0.2,22.38
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,67, Oct 5,2020,4.41,0.18,0.4,24.77
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,656, Sep 29,2020,5.4,0.22,0.23,24.12
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,66, Oct 5,2020,5.46,0.21,0.28,26.02
Cherry Wine, Triple Barn Farms,Illinois, Iroquois,485, Sep 14,2020,3.81,0.2,0.19,19.4
Cherry Wine, Half Moon Hemp,Indiana, Monroe,505, Sep 15,2020,5.1,0.23,0.22,21.97
Cherry Wine, Fruit Growers Laboratory Inc,Illinois, Piatt,509, Sep 14,2020,12.64,0.54,0.24,23.48
Cherry Wine, Mountain Flower Botanicals,Wisconsin, Walworth,65, Oct 5,2020,3.97,0.18,0.23,22.62
Cherry Wine S1, Eastern Plains Hemp,Wisconsin, Columbia,62, Oct 1,2020,3.58,0.72,0.28,4.96
Cherry Wine S1, Eastern Plains Hemp,Wisconsin, Walworth,114, Oct 15,2020,7.22,0.26,0.3,28
Cherry Wine S1, Eastern Plains Hemp,Illinois, Warrem,542, Sep 14,2020,1.98,0.11,0.08,18.59
Cherry Wine S1, Eastern Plains Hemp,Wisconsin, Walworth,525, Sep 17,2020,3.31,0.14,0.22,23.67
Cherry Wine S1, Eastern Plains Hemp,Illinois, Madison,652, Sep 28,2020,4.31,0.22,0.17,19.71
Cherry Wine S1, Eastern Plains Hemp,Illinois, Warren,181, Nov 3,2020,0,0,0, null
Cherry Wine S1, Eastern Plains Hemp,Wisconsin, Columbia,558, Sep 21,2020,4.2,0.18,0.3,23.78
Cherry Wine S1, Eastern Plains Hemp,Wisconsin, Walworth,666, Oct 1,2020,6.18,0.26,0.32,23.35
Cherry Wine S1, Eastern Plains Hemp,Illinois, Warrem,147, Oct 28,2020,1.77,0.05,0.02,38.1
Cherry Wine S1, Eastern Plains Hemp,Illinois, Warren,146, Oct 28,2020,5.75,0.19,0.31,29.58
Cherry Wine S1, Eastern Plains Hemp,Wisconsin, Columbia,72, Oct 5,2020,7.29,0.27,0.37,27.07
Cherry Wine S1, Eastern Plains Hemp,Illinois, Madison,541, Sep 15,2020,3.76,0.18,0.15,20.32
Cherry Wine S1, Eastern Plains Hemp,Illinois, Warren,540, Sep 15,2020,2.99,0.14,0.11,21.94
Cherry Wine S1, Eastern Plains Hemp,Wisconsin, Columbia,426, Sep 11,2020,4.18,0.18,0.11,23.68
Cherry x Abacus, United Growers LLC,Wisconsin, Trempealeau,569, Sep 21,2020,6.29,0.26,0.13,24.26
Cherry x Abacus, United Growers LLC,Wisconsin, Wood,568, Sep 21,2020,6.37,0.24,0.29,26.28
Cherry x Abacus, United Growers LLC,Wisconsin, Wood,186, Nov 4,2020,11.95,0.39,0.19,30.67
Cherry x Abacus, United Growers LLC,Wisconsin, Wood,366, Sep 2,2020,3.14,0.14,0.2,21.78
Cherry x Abacus, United Growers LLC,Wisconsin, Wood,158, Oct 12,2020,11.37,0.37,0.22,30.96
Cherry x Abacus, United Growers LLC,Wisconsin, Trempealeau,322, Aug 31,2020,3.07,0.15,0.18,21.03
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Dane,590, Sep 24,2020,3.27,0.14,0.24,24.1
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Dane,696, Oct 5,2020,2.2,0.09,0.11,23.26
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Grant,227, Aug 16,2020,2.01,0.09,0.1,22.61
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Waushara,226, Aug 16,2020,2.59,0.13,0.03,20.01
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Dane,591, Sep 24,2020,2.29,0.11,0.14,20.1
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Dane,592, Sep 23,2020,3.97,0.16,0.25,24.76
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Grant,655, Sep 29,2020,4.79,0.2,0.24,23.94
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Dane,556, Sep 21,2020,2.44,0.1,0.14,23.34
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Grant,727, Oct 8,2020,3.15,0.15,0.2,20.67
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Dane,472, Sep 14,2020,1.69,0.09,0.08,18.75
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Dane,695, Oct 5,2020,3.92,0.15,0.18,25.37
